score,running_total
3,3
1,4
1,5
1,6
3,9
20,29
20,49
1,50
1,51
1,52
1,53
3,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
3,77
1,78
3,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
3,119
1,120
1,121
1,122
1,123
1,124
1,125
1,126
3,129
1,130
3,133
1,134
3,137
1,138
1,139
1,140
3,143
20,163
1,164
1,165
1,166
1,167
1,168
1,169
3,172
1,173
3,176
1,177
3,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
3,194
1,195
1,196
3,199
1,200
3,203
1,204
1,205
1,206
1,207
1,208
1,209
3,212
1,213
1,214
1,215
3,218
1,219
3,222
1,223
1,224
1,225
1,226
1,227
1,228
1,229
1,230
1,231
1,232
1,233
1,234
1,235
1,236
1,237
1,238
1,239
1,240
1,241
1,242
1,243
1,244
1,245
1,246
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
1,263
1,264
1,265
1,266
1,267
1,268
1,269
1,270
1,271
1,272
1,273
1,274
1,275
1,276
1,277
1,278
1,279
1,280
1,281
1,282
1,283
1,284
1,285
1,286
1,287
1,288
1,289
1,290
1,291
1,292
1,293
1,294
1,295
1,296
1,297
1,298
1,299
1,300
1,301
1,302
1,303
1,304
3,307
1,308
20,328
1,329
1,330
1,331
1,332
1,333
1,334
1,335
1,336
1,337
1,338
1,339
1,340
1,341
3,344
1,345
1,346
3,349
1,350
3,353
1,354
1,355
1,356
1,357
1,358
1,359
1,360
1,361
1,362
1,363
1,364
1,365
1,366
3,369
1,370
3,373
1,374
1,375
1,376
1,377
1,378
1,379
1,380
1,381
1,382
1,383
1,384
1,385
1,386
1,387
1,388
1,389
1,390
1,391
1,392
1,393
1,394
1,395
1,396
1,397
1,398
1,399
1,400
1,401
1,402
1,403
1,404
1,405
1,406
1,407
1,408
1,409
3,412
3,415
1,416
3,419
1,420
1,421
1,422
1,423
1,424
1,425
1,426
1,427
1,428
1,429
1,430
1,431
1,432
1,433
1,434
1,435
1,436
1,437
1,438
1,439
1,440
1,441
1,442
1,443
1,444
1,445
1,446
1,447
1,448
1,449
1,450
1,451
1,452
1,453
1,454
1,455
1,456
1,457
1,458
1,459
1,460
1,461
1,462
1,463
1,464
1,465
1,466
3,469
3,472
1,473
3,476
1,477
3,480
1,481
3,484
1,485
1,486
1,487
1,488
3,491
1,492
1,493
1,494
1,495
20,515
1,516
1,517
1,518
1,519
1,520
1,521
1,522
1,523
1,524
1,525
1,526
1,527
1,528
1,529
1,530
1,531
1,532
1,533
3,536
1,537
3,540
3,543
1,544
1,545
1,546
1,547
1,548
1,549
1,550
1,551
1,552
1,553
1,554
1,555
1,556
1,557
1,558
1,559
1,560
1,561
1,562
1,563
1,564
1,565
1,566
1,567
1,568
1,569
1,570
1,571
1,572
1,573
1,574
1,575
1,576
1,577
1,578
1,579
1,580
20,600
20,620
1,621
1,622
1,623
1,624
1,625
1,626
1,627
1,628
1,629
1,630
1,631
1,632
1,633
1,634
1,635
1,636
1,637
1,638
1,639
1,640
1,641
1,642
1,643
1,644
1,645
1,646
1,647
1,648
1,649
1,650
1,651
1,652
1,653
1,654
1,655
1,656
1,657
20,677
1,678
1,679
1,680
1,681
1,682
1,683
1,684
1,685
1,686
1,687
1,688
1,689
3,692
20,712
1,713
1,714
1,715
1,716
1,717
1,718
1,719
1,720
1,721
1,722
1,723
1,724
1,725
1,726
1,727
1,728
3,731
1,732
1,733
1,734
1,735
1,736
1,737
1,738
1,739
1,740
1,741
1,742
1,743
1,744
1,745
1,746
1,747
1,748
1,749
1,750
1,751
1,752
1,753
20,773
1,774
1,775
1,776
1,777
1,778
1,779
1,780
1,781
1,782
1,783
1,784
1,785
1,786
1,787
1,788
1,789
1,790
1,791
1,792
1,793
1,794
1,795
1,796
1,797
1,798
1,799
1,800
1,801
1,802
1,803
1,804
1,805
1,806
1,807
1,808
1,809
1,810
1,811
1,812
1,813
1,814
1,815
1,816
1,817
1,818
1,819
1,820
1,821
1,822
1,823
1,824
1,825
1,826
1,827
1,828
1,829
1,830
1,831
1,832
1,833
1,834
1,835
3,838
1,839
3,842
1,843
1,844
1,845
3,848
1,849
3,852
1,853
1,854
1,855
1,856
1,857
1,858
1,859
1,860
1,861
1,862
3,865
1,866
1,867
3,870
3,873
1,874
3,877
20,897
20,917
1,918
1,919
1,920
1,921
1,922
1,923
3,926
1,927
1,928
1,929
1,930
1,931
1,932
1,933
1,934
1,935
1,936
1,937
1,938
1,939
1,940
1,941
1,942
1,943
1,944
1,945
1,946
1,947
1,948
1,949
1,950
1,951
1,952
1,953
1,954
1,955
1,956
1,957
1,958
1,959
1,960
1,961
1,962
3,965
1,966
3,969
1,970
1,971
1,972
1,973
1,974
1,975
1,976
1,977
1,978
1,979
1,980
1,981
1,982
1,983
1,984
1,985
1,986
1,987
1,988
1,989
1,990
1,991
1,992
1,993
1,994
1,995
1,996
1,997
1,998
1,999
1,1000
1,1001
1,1002
1,1003
1,1004
1,1005
1,1006
1,1007
1,1008
1,1009
1,1010
1,1011
1,1012
1,1013
1,1014
1,1015
1,1016
1,1017
3,1020
1,1021
1,1022
1,1023
1,1024
1,1025
20,1045
20,1065
1,1066
1,1067
1,1068
1,1069
1,1070
1,1071
1,1072
1,1073
1,1074
1,1075
1,1076
1,1077
1,1078
1,1079
1,1080
1,1081
1,1082
1,1083
1,1084
1,1085
1,1086
1,1087
1,1088
1,1089
1,1090
3,1093
1,1094
1,1095
1,1096
1,1097
1,1098
1,1099
1,1100
1,1101
1,1102
1,1103
1,1104
1,1105
1,1106
1,1107
1,1108
1,1109
1,1110
1,1111
1,1112
1,1113
1,1114
1,1115
1,1116
1,1117
1,1118
1,1119
1,1120
1,1121
1,1122
1,1123
1,1124
1,1125
1,1126
1,1127
1,1128
3,1131
1,1132
1,1133
20,1153
1,1154
1,1155
1,1156
1,1157
1,1158
1,1159
1,1160
1,1161
1,1162
1,1163
1,1164
1,1165
1,1166
1,1167
1,1168
1,1169
1,1170
1,1171
1,1172
1,1173
1,1174
1,1175
1,1176
1,1177
1,1178
1,1179
1,1180
3,1183
1,1184
1,1185
3,1188
3,1191
3,1194
1,1195
1,1196
1,1197
1,1198
1,1199
1,1200
1,1201
1,1202
1,1203
1,1204
1,1205
1,1206
1,1207
1,1208
1,1209
1,1210
1,1211
1,1212
1,1213
1,1214
3,1217
1,1218
3,1221
3,1224
3,1227
1,1228
1,1229
1,1230
1,1231
1,1232
1,1233
1,1234
1,1235
1,1236
1,1237
1,1238
1,1239
1,1240
1,1241
1,1242
1,1243
1,1244
1,1245
1,1246
1,1247
1,1248
1,1249
3,1252
1,1253
1,1254
1,1255
1,1256
3,1259
1,1260
1,1261
1,1262
1,1263
1,1264
1,1265
1,1266
1,1267
1,1268
1,1269
1,1270
1,1271
1,1272
1,1273
1,1274
1,1275
1,1276
1,1277
1,1278
1,1279
1,1280
1,1281
1,1282
1,1283
1,1284
3,1287
3,1290
1,1291
1,1292
1,1293
1,1294
1,1295
1,1296
1,1297
1,1298
1,1299
1,1300
20,1320
1,1321
1,1322
1,1323
1,1324
1,1325
1,1326
1,1327
3,1330
1,1331
3,1334
1,1335
1,1336
1,1337
1,1338
1,1339
1,1340
1,1341
1,1342
1,1343
1,1344
1,1345
1,1346
1,1347
1,1348
1,1349
1,1350
1,1351
1,1352
1,1353
1,1354
1,1355
1,1356
1,1357
1,1358
1,1359
1,1360
1,1361
1,1362
1,1363
1,1364
1,1365
1,1366
1,1367
1,1368
1,1369
1,1370
1,1371
3,1374
3,1377
1,1378
1,1379
1,1380
1,1381
1,1382
1,1383
1,1384
1,1385
1,1386
1,1387
3,1390
1,1391
1,1392
1,1393
1,1394
1,1395
1,1396
1,1397
1,1398
1,1399
1,1400
1,1401
1,1402
1,1403
1,1404
1,1405
1,1406
1,1407
1,1408
1,1409
1,1410
1,1411
1,1412
1,1413
1,1414
1,1415
1,1416
1,1417
1,1418
1,1419
1,1420
1,1421
1,1422
1,1423
1,1424
1,1425
20,1445
1,1446
1,1447
1,1448
1,1449
1,1450
1,1451
1,1452
1,1453
3,1456
1,1457
1,1458
1,1459
1,1460
1,1461
1,1462
1,1463
1,1464
1,1465
3,1468
1,1469
1,1470
1,1471
1,1472
1,1473
1,1474
1,1475
1,1476
1,1477
1,1478
1,1479
1,1480
1,1481
1,1482
1,1483
1,1484
1,1485
1,1486
1,1487
1,1488
1,1489
1,1490
1,1491
1,1492
3,1495
1,1496
1,1497
1,1498
1,1499
1,1500
1,1501
1,1502
1,1503
1,1504
1,1505
1,1506
3,1509
1,1510
3,1513
3,1516
1,1517
1,1518
3,1521
3,1524
1,1525
3,1528
1,1529
1,1530
3,1533
1,1534
3,1537
1,1538
3,1541
1,1542
1,1543
1,1544
1,1545
1,1546
1,1547
1,1548
1,1549
3,1552
1,1553
3,1556
1,1557
1,1558
1,1559
1,1560
1,1561
1,1562
1,1563
1,1564
1,1565
1,1566
1,1567
1,1568
1,1569
1,1570
1,1571
1,1572
1,1573
1,1574
1,1575
1,1576
1,1577
1,1578
1,1579
1,1580
1,1581
1,1582
1,1583
1,1584
3,1587
1,1588
20,1608
1,1609
1,1610
1,1611
1,1612
3,1615
1,1616
1,1617
1,1618
1,1619
3,1622
1,1623
1,1624
1,1625
1,1626
1,1627
1,1628
1,1629
1,1630
1,1631
1,1632
1,1633
3,1636
1,1637
1,1638
1,1639
1,1640
1,1641
1,1642
1,1643
1,1644
1,1645
1,1646
1,1647
3,1650
1,1651
1,1652
1,1653
1,1654
1,1655
1,1656
1,1657
1,1658
1,1659
1,1660
1,1661
1,1662
1,1663
1,1664
3,1667
1,1668
3,1671
1,1672
1,1673
3,1676
1,1677
3,1680
3,1683
1,1684
1,1685
1,1686
1,1687
1,1688
1,1689
1,1690
1,1691
1,1692
1,1693
1,1694
1,1695
3,1698
1,1699
1,1700
1,1701
1,1702
1,1703
1,1704
1,1705
1,1706
1,1707
1,1708
1,1709
1,1710
1,1711
1,1712
1,1713
1,1714
1,1715
1,1716
1,1717
1,1718
1,1719
1,1720
1,1721
1,1722
1,1723
1,1724
1,1725
1,1726
1,1727
1,1728
1,1729
1,1730
1,1731
1,1732
1,1733
1,1734
1,1735
1,1736
1,1737
1,1738
1,1739
1,1740
3,1743
1,1744
1,1745
1,1746
3,1749
3,1752
20,1772
1,1773
1,1774
1,1775
1,1776
1,1777
1,1778
1,1779
1,1780
1,1781
1,1782
1,1783
1,1784
1,1785
1,1786
1,1787
1,1788
1,1789
3,1792
1,1793
3,1796
1,1797
3,1800
1,1801
3,1804
1,1805
3,1808
1,1809
3,1812
1,1813
3,1816
1,1817
3,1820
1,1821
3,1824
1,1825
3,1828
1,1829
3,1832
1,1833
3,1836
1,1837
3,1840
1,1841
3,1844
1,1845
3,1848
1,1849
3,1852
1,1853
3,1856
1,1857
3,1860
1,1861
3,1864
3,1867
1,1868
1,1869
1,1870
3,1873
1,1874
3,1877
1,1878
3,1881
1,1882
3,1885
1,1886
3,1889
1,1890
3,1893
1,1894
3,1897
1,1898
3,1901
1,1902
3,1905
1,1906
3,1909
1,1910
3,1913
1,1914
3,1917
1,1918
3,1921
1,1922
3,1925
1,1926
3,1929
1,1930
3,1933
1,1934
3,1937
1,1938
3,1941
1,1942
1,1943
1,1944
1,1945
1,1946
1,1947
1,1948
1,1949
1,1950
1,1951
3,1954
1,1955
3,1958
1,1959
3,1962
1,1963
3,1966
1,1967
1,1968
1,1969
1,1970
1,1971
1,1972
3,1975
1,1976
1,1977
3,1980
1,1981
3,1984
1,1985
3,1988
1,1989
1,1990
1,1991
3,1994
1,1995
1,1996
1,1997
1,1998
1,1999
1,2000
1,2001
1,2002
1,2003
1,2004
1,2005
1,2006
1,2007
3,2010
1,2011
3,2014
1,2015
1,2016
3,2019
1,2020
1,2021
1,2022
1,2023
3,2026
1,2027
1,2028
1,2029
1,2030
1,2031
1,2032
1,2033
1,2034
1,2035
3,2038
3,2041
1,2042
1,2043
1,2044
1,2045
1,2046
1,2047
1,2048
1,2049
1,2050
1,2051
1,2052
1,2053
1,2054
3,2057
1,2058
3,2061
1,2062
3,2065
1,2066
1,2067
1,2068
1,2069
1,2070
1,2071
1,2072
1,2073
1,2074
1,2075
1,2076
1,2077
3,2080
3,2083
1,2084
3,2087
1,2088
1,2089
1,2090
1,2091
1,2092
1,2093
1,2094
20,2114
3,2117
1,2118
3,2121
1,2122
1,2123
3,2126
3,2129
1,2130
1,2131
1,2132
3,2135
1,2136
1,2137
1,2138
1,2139
1,2140
3,2143
1,2144
1,2145
1,2146
1,2147
1,2148
3,2151
3,2154
1,2155
3,2158
3,2161
1,2162
1,2163
3,2166
3,2169
1,2170
1,2171
1,2172
1,2173
1,2174
1,2175
3,2178
1,2179
3,2182
1,2183
3,2186
3,2189
1,2190
3,2193
1,2194
1,2195
1,2196
1,2197
1,2198
3,2201
1,2202
1,2203
1,2204
1,2205
1,2206
1,2207
1,2208
1,2209
1,2210
1,2211
1,2212
1,2213
1,2214
1,2215
3,2218
1,2219
1,2220
1,2221
1,2222
1,2223
1,2224
1,2225
1,2226
3,2229
1,2230
1,2231
3,2234
1,2235
1,2236
1,2237
1,2238
1,2239
3,2242
1,2243
1,2244
1,2245
1,2246
1,2247
1,2248
1,2249
1,2250
1,2251
1,2252
3,2255
1,2256
1,2257
1,2258
3,2261
3,2264
1,2265
1,2266
1,2267
1,2268
1,2269
1,2270
1,2271
1,2272
1,2273
1,2274
1,2275
1,2276
1,2277
1,2278
1,2279
1,2280
1,2281
1,2282
1,2283
1,2284
1,2285
3,2288
1,2289
1,2290
1,2291
1,2292
1,2293
1,2294
3,2297
1,2298
1,2299
3,2302
1,2303
1,2304
3,2307
1,2308
3,2311
1,2312
